date,precipitation_mm
2019-01-01,1.8
2019-01-02,2.5
2019-01-03,5.5
2019-01-04,18.4
2019-01-05,6.4
2019-01-06,2.5
2019-01-07,0.1
2019-01-08,1.6
2019-01-09,3.6
2019-01-10,0.7
2019-01-11,0.2
2019-01-12,0.0
2019-01-13,1.1
2019-01-14,0.0
2019-01-15,13.3
2019-01-16,2.4
2019-01-17,0.8
2019-01-18,11.9
2019-01-19,2.4
2019-01-20,14.0
2019-01-21,2.7
2019-01-22,4.5
2019-01-23,8.1
2019-01-24,5.6
2019-01-25,2.4
2019-01-26,0.5
2019-01-27,0.2
2019-01-28,0.9
2019-01-29,0.0
2019-01-30,0.7
2019-01-31,0.2
2019-02-01,1.5
2019-02-02,0.0
2019-02-03,2.0
2019-02-04,0.3
2019-02-05,0.5
2019-02-06,0.6
2019-02-07,6.9
2019-02-08,0.7
2019-02-09,0.5
2019-02-10,0.3
2019-02-11,1.3
2019-02-12,1.0
2019-02-13,0.0
2019-02-14,0.2
2019-02-15,0.0
2019-02-16,1.1
2019-02-17,0.4
2019-02-18,0.9
2019-02-19,0.0
2019-02-20,6.1
2019-02-21,1.8
2019-02-22,3.0
2019-02-23,14.7
2019-02-24,18.1
2019-02-25,0.7
2019-02-26,0.0
2019-02-27,0.3
2019-02-28,0.4
2019-03-01,1.0
2019-03-02,1.6
2019-03-03,0.8
2019-03-04,8.8
2019-03-05,11.6
2019-03-06,8.5
2019-03-07,2.4
2019-03-08,7.7
2019-03-09,4.4
2019-03-10,0.5
2019-03-11,1.6
2019-03-12,1.4
2019-03-13,3.4
2019-03-14,0.3
2019-03-15,0.5
2019-03-16,4.5
2019-03-17,1.9
2019-03-18,1.6
2019-03-19,1.5
2019-03-20,1.6
2019-03-21,0.9
2019-03-22,0.2
2019-03-23,1.0
2019-03-24,2.6
2019-03-25,0.1
2019-03-26,2.9
2019-03-27,11.7
2019-03-28,11.8
2019-03-29,0.3
2019-03-30,13.5
2019-03-31,1.0
2019-04-01,7.9
2019-04-02,27.5
2019-04-03,6.1
2019-04-04,9.0
2019-04-05,5.9
2019-04-06,0.2
2019-04-07,1.3
2019-04-08,1.6
2019-04-09,13.4
2019-04-10,6.9
2019-04-11,10.5
2019-04-12,13.8
2019-04-13,4.1
2019-04-14,5.3
2019-04-15,17.2
2019-04-16,2.0
2019-04-17,0.1
2019-04-18,6.4
2019-04-19,2.0
2019-04-20,0.1
2019-04-21,11.4
2019-04-22,11.9
2019-04-23,2.8
2019-04-24,0.4
2019-04-25,15.4
